"Step","w1-baseline-fast - completion_len/min","w1-baseline-fast - completion_len/min__MIN","w1-baseline-fast - completion_len/min__MAX","w1-alpha64-baseline - completion_len/min","w1-alpha64-baseline - completion_len/min__MIN","w1-alpha64-baseline - completion_len/min__MAX","w1-alpha32-baseline - completion_len/min","w1-alpha32-baseline - completion_len/min__MIN","w1-alpha32-baseline - completion_len/min__MAX","w1-alpha128-baseline - completion_len/min","w1-alpha128-baseline - completion_len/min__MIN","w1-alpha128-baseline - completion_len/min__MAX","w1-alpha64-lr1e-5 - completion_len/min","w1-alpha64-lr1e-5 - completion_len/min__MIN","w1-alpha64-lr1e-5 - completion_len/min__MAX","w1-alpha64-lr3e-6 - completion_len/min","w1-alpha64-lr3e-6 - completion_len/min__MIN","w1-alpha64-lr3e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/min","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MAX","w1-alpha64-lr5e-6 - completion_len/min","w1-alpha64-lr5e-6 - completion_len/min__MIN","w1-alpha64-lr5e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MAX"
"46","364.625","364.625","364.625","243.375","243.375","243.375","287.375","287.375","287.375","229.625","229.625","229.625","118.625","118.625","118.625","199.25","199.25","199.25","229.125","229.125","229.125","192.625","192.625","192.625","436.875","436.875","436.875","261.625","261.625","261.625","570.0","570.0","570.0","331.5","331.5","331.5"
"47","314.25","314.25","314.25","239.25","239.25","239.25","267.875","267.875","267.875","236.5","236.5","236.5","117.875","117.875","117.875","204.125","204.125","204.125","199.8125","199.8125","199.8125","185.625","185.625","185.625","462.125","462.125","462.125","255.125","255.125","255.125","528.625","528.625","528.625","371.25","371.25","371.25"
"48","353.625","353.625","353.625","247.5","247.5","247.5","273.125","273.125","273.125","238.375","238.375","238.375","119.0","119.0","119.0","219.25","219.25","219.25","291.8125","291.8125","291.8125","170.125","170.125","170.125","567.5","567.5","567.5","250.375","250.375","250.375","505.75","505.75","505.75","365.25","365.25","365.25"
"49","380.625","380.625","380.625","268.5","268.5","268.5","297.625","297.625","297.625","236.0","236.0","236.0","100.25","100.25","100.25","196.5","196.5","196.5","237.75","237.75","237.75","172.25","172.25","172.25","540.125","540.125","540.125","242.625","242.625","242.625","531.375","531.375","531.375","389.5","389.5","389.5"
"50","351.875","351.875","351.875","242.75","242.75","242.75","265.375","265.375","265.375","230.875","230.875","230.875","109.5","109.5","109.5","195.875","195.875","195.875","268.0","268.0","268.0","194.75","194.75","194.75","465.875","465.875","465.875","242.625","242.625","242.625","543.0","543.0","543.0","382.25","382.25","382.25"
"51","316.625","316.625","316.625","251.375","251.375","251.375","252.125","252.125","252.125","251.625","251.625","251.625","67.375","67.375","67.375","194.625","194.625","194.625","248.5625","248.5625","248.5625","190.5","190.5","190.5","477.25","477.25","477.25","252.875","252.875","252.875","529.875","529.875","529.875","398.25","398.25","398.25"
"52","325.875","325.875","325.875","273.375","273.375","273.375","272.25","272.25","272.25","216.625","216.625","216.625","67.25","67.25","67.25","194.125","194.125","194.125","242.3125","242.3125","242.3125","191.125","191.125","191.125","580.625","580.625","580.625","247.5","247.5","247.5","561.375","561.375","561.375","330.25","330.25","330.25"
"53","305.25","305.25","305.25","237.0","237.0","237.0","255.25","255.25","255.25","203.25","203.25","203.25","66.375","66.375","66.375","188.625","188.625","188.625","236.375","236.375","236.375","193.625","193.625","193.625","414.0","414.0","414.0","255.5","255.5","255.5","479.0","479.0","479.0","398.0","398.0","398.0"
"54","337.125","337.125","337.125","236.125","236.125","236.125","277.625","277.625","277.625","197.25","197.25","197.25","59.625","59.625","59.625","190.25","190.25","190.25","205.6875","205.6875","205.6875","206.625","206.625","206.625","428.0","428.0","428.0","247.75","247.75","247.75","616.125","616.125","616.125","373.25","373.25","373.25"
"55","338.5","338.5","338.5","244.875","244.875","244.875","254.25","254.25","254.25","229.25","229.25","229.25","68.25","68.25","68.25","187.625","187.625","187.625","199.1875","199.1875","199.1875","193.0","193.0","193.0","424.625","424.625","424.625","257.25","257.25","257.25","530.375","530.375","530.375","358.25","358.25","358.25"
"56","333.625","333.625","333.625","227.875","227.875","227.875","264.125","264.125","264.125","207.75","207.75","207.75","63.625","63.625","63.625","203.0","203.0","203.0","243.3125","243.3125","243.3125","180.375","180.375","180.375","518.625","518.625","518.625","235.625","235.625","235.625","534.875","534.875","534.875","367.25","367.25","367.25"
"58","338.875","338.875","338.875","233.375","233.375","233.375","240.5","240.5","240.5","195.625","195.625","195.625","48.875","48.875","48.875","177.5","177.5","177.5","218.4375","218.4375","218.4375","175.25","175.25","175.25","460.875","460.875","460.875","258.0","258.0","258.0","518.625","518.625","518.625","385.0","385.0","385.0"
"59","311.625","311.625","311.625","219.375","219.375","219.375","272.375","272.375","272.375","227.125","227.125","227.125","55.5","55.5","55.5","176.875","176.875","176.875","210.5","210.5","210.5","161.375","161.375","161.375","451.125","451.125","451.125","233.875","233.875","233.875","585.125","585.125","585.125","347.75","347.75","347.75"
"60","317.75","317.75","317.75","220.0625","220.0625","220.0625","253.25","253.25","253.25","214.125","214.125","214.125","22.125","22.125","22.125","178.375","178.375","178.375","222.625","222.625","222.625","184.5","184.5","184.5","499.5","499.5","499.5","243.375","243.375","243.375","540.0","540.0","540.0","390.25","390.25","390.25"
"61","386.5","386.5","386.5","245.875","245.875","245.875","255.0","255.0","255.0","242.625","242.625","242.625","56.125","56.125","56.125","168.875","168.875","168.875","227.375","227.375","227.375","143.25","143.25","143.25","496.25","496.25","496.25","241.5","241.5","241.5","545.375","545.375","545.375","429.25","429.25","429.25"
